,buy,sell,trade_profit,total_profit
0,21.05,21.04,-0.010000000000001563,-0.010000000000001563
1,21.03,21.05,0.019999999999999574,0.00999999999999801
2,21.03,21.01,-0.019999999999999574,-0.010000000000001563
3,21.05,21.05,0.0,-0.010000000000001563
