Date,SUPERT_14_3.0,SUPERTd_14_3.0,SUPERTl_14_3.0,SUPERTs_14_3.0
2023-06-18 00:00:00,0.0,1,,
2023-06-18 00:05:00,,1,,
2023-06-18 00:10:00,,1,,
2023-06-18 00:15:00,,1,,
2023-06-18 00:20:00,,1,,
2023-06-18 00:25:00,,1,,
2023-06-18 00:30:00,,1,,
2023-06-18 00:35:00,,1,,
2023-06-18 00:40:00,,1,,
2023-06-18 00:45:00,,1,,
2023-06-18 00:50:00,,1,,
2023-06-18 00:55:00,,1,,
2023-06-18 01:00:00,,1,,
2023-06-18 01:05:00,,1,,
2023-06-18 01:10:00,6.733214285714286,1,6.733214285714286,
2023-06-18 01:15:00,6.758698979591837,1,6.758698979591837,
2023-06-18 01:20:00,6.758698979591837,1,6.758698979591837,
2023-06-18 01:25:00,6.758698979591837,1,6.758698979591837,
2023-06-18 01:30:00,6.758698979591837,1,6.758698979591837,
2023-06-18 01:35:00,6.758698979591837,1,6.758698979591837,
2023-06-18 01:40:00,6.758698979591837,1,6.758698979591837,
2023-06-18 01:45:00,6.758698979591837,1,6.758698979591837,
2023-06-18 01:50:00,6.758698979591837,1,6.758698979591837,
2023-06-18 01:55:00,6.76303236030022,1,6.76303236030022,
2023-06-18 02:00:00,6.7852443345644895,1,6.7852443345644895,
2023-06-18 02:05:00,6.79615545352417,1,6.79615545352417,
2023-06-18 02:10:00,6.8051086354153,1,6.8051086354153,
2023-06-18 02:15:00,6.8051086354153,1,6.8051086354153,
2023-06-18 02:20:00,6.8051086354153,1,6.8051086354153,
2023-06-18 02:25:00,6.8051086354153,1,6.8051086354153,
2023-06-18 02:30:00,6.8051086354153,1,6.8051086354153,
2023-06-18 02:35:00,6.8051086354153,1,6.8051086354153,
2023-06-18 02:40:00,6.806952726423021,1,6.806952726423021,
2023-06-18 02:45:00,6.820670388821377,1,6.820670388821377,
2023-06-18 02:50:00,6.826015361048421,1,6.826015361048421,
2023-06-18 02:55:00,6.826015361048421,1,6.826015361048421,
2023-06-18 03:00:00,6.827355081720323,1,6.827355081720323,
2023-06-18 03:05:00,6.838008290168871,1,6.838008290168871,
2023-06-18 03:10:00,6.871364840871094,1,6.871364840871094,
2023-06-18 03:15:00,6.881517352237445,1,6.881517352237445,
2023-06-18 03:20:00,6.890123255649056,1,6.890123255649056,
2023-06-18 03:25:00,6.890123255649056,1,6.890123255649056,
2023-06-18 03:30:00,6.892335868391278,1,6.892335868391278,
2023-06-18 03:35:00,6.892335868391278,1,6.892335868391278,
2023-06-18 03:40:00,6.893355927337378,1,6.893355927337378,
2023-06-18 03:45:00,6.893355927337378,1,6.893355927337378,
2023-06-18 03:50:00,6.893355927337378,1,6.893355927337378,
2023-06-18 03:55:00,6.893355927337378,1,6.893355927337378,
2023-06-18 04:00:00,6.893355927337378,1,6.893355927337378,
2023-06-18 04:05:00,6.893355927337378,1,6.893355927337378,
2023-06-18 04:10:00,6.893355927337378,1,6.893355927337378,
2023-06-18 04:15:00,6.893355927337378,1,6.893355927337378,
2023-06-18 04:20:00,6.893355927337378,1,6.893355927337378,
2023-06-18 04:25:00,6.893355927337378,1,6.893355927337378,
2023-06-18 04:30:00,6.893355927337378,1,6.893355927337378,
2023-06-18 04:35:00,6.9012340691017116,1,6.9012340691017116,
2023-06-18 04:40:00,6.912538778451589,1,6.912538778451589,
2023-06-18 04:45:00,6.912538778451589,1,6.912538778451589,
2023-06-18 04:50:00,6.912538778451589,1,6.912538778451589,
2023-06-18 04:55:00,6.912538778451589,1,6.912538778451589,
2023-06-18 05:00:00,6.912538778451589,1,6.912538778451589,
2023-06-18 05:05:00,6.912538778451589,1,6.912538778451589,
2023-06-18 05:10:00,6.912538778451589,1,6.912538778451589,
2023-06-18 05:15:00,6.912538778451589,1,6.912538778451589,
2023-06-18 05:20:00,6.9325585129598455,1,6.9325585129598455,
2023-06-18 05:25:00,6.933090047748427,1,6.933090047748427,
2023-06-18 05:30:00,6.933090047748427,1,6.933090047748427,
2023-06-18 05:35:00,6.9705291738239,1,6.9705291738239,
2023-06-18 05:40:00,6.9705291738239,1,6.9705291738239,
2023-06-18 05:45:00,6.9705291738239,1,6.9705291738239,
2023-06-18 05:50:00,6.9705291738239,1,6.9705291738239,
2023-06-18 05:55:00,6.9705291738239,1,6.9705291738239,
2023-06-18 06:00:00,6.9705291738239,1,6.9705291738239,
2023-06-18 06:05:00,6.9705291738239,1,6.9705291738239,
2023-06-18 06:10:00,6.9705291738239,1,6.9705291738239,
2023-06-18 06:15:00,6.9705291738239,1,6.9705291738239,
2023-06-18 06:20:00,6.9705291738239,1,6.9705291738239,
2023-06-18 06:25:00,6.9705291738239,1,6.9705291738239,
2023-06-18 06:30:00,6.9705291738239,1,6.9705291738239,
2023-06-18 06:35:00,6.9705291738239,1,6.9705291738239,
2023-06-18 06:40:00,6.9705291738239,1,6.9705291738239,
2023-06-18 06:45:00,6.9705291738239,1,6.9705291738239,
2023-06-18 06:50:00,6.9705291738239,1,6.9705291738239,
2023-06-18 06:55:00,6.9705291738239,1,6.9705291738239,
2023-06-18 07:00:00,6.995131743129271,1,6.995131743129271,
2023-06-18 07:05:00,6.995872332905752,1,6.995872332905752,
2023-06-18 07:10:00,7.028560023412483,1,7.028560023412483,
2023-06-18 07:15:00,7.0642343074544485,1,7.0642343074544485,
2023-06-18 07:20:00,7.068824714064846,1,7.068824714064846,
2023-06-18 07:25:00,7.098944377345927,1,7.098944377345927,
2023-06-18 07:30:00,7.098944377345927,1,7.098944377345927,
